StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
1001,17,1,0,2,19.8,7,1,2,0,0,1,0,2.93,2
1002,18,0,0,1,15.4,0,0,1,0,0,0,0,3.04,1
1003,15,0,2,3,4.2,26,0,2,0,0,0,0,0.11,4
1004,17,1,0,3,10.0,14,0,3,1,0,0,0,2.05,3
1005,17,1,0,2,4.7,17,1,3,0,0,0,0,1.29,4
1006,18,0,0,1,8.2,0,0,1,1,0,0,0,3.08,1
1007,15,0,1,1,15.6,10,0,3,0,1,0,0,2.75,2
1008,15,1,1,4,15.4,22,1,1,1,0,0,0,1.36,4
1009,17,0,0,0,4.6,1,0,2,0,1,0,1,2.9,2
1010,16,1,0,1,18.4,0,0,3,1,0,0,0,3.57,0
1011,17,0,0,1,11.9,11,0,1,0,0,0,0,2.15,3
1012,17,0,0,1,7.6,15,0,2,0,0,0,1,1.56,4
1013,17,0,1,1,10.0,21,0,3,1,0,0,0,1.52,4
1014,17,0,1,2,12.1,21,0,4,0,1,0,0,1.75,4
1015,18,1,0,1,11.2,9,1,2,0,0,0,0,2.4,3
1016,15,0,0,2,9.7,17,1,0,0,1,0,0,1.34,4
1017,18,0,3,1,10.1,14,0,2,1,1,0,0,2.23,3
1018,18,1,0,0,3.5,16,1,2,0,0,0,0,1.38,4
1019,18,0,1,3,16.3,29,0,2,1,0,0,1,0.47,4
1020,17,0,0,1,10.8,9,0,2,0,0,1,0,2.4,3
1021,16,1,0,3,2.6,2,0,3,0,0,0,1,2.78,2
1022,15,0,0,2,15.3,25,0,1,1,0,0,0,0.35,4
1023,16,1,1,0,18.6,29,1,1,0,0,0,0,0.31,4
1024,18,1,3,4,18.9,20,0,2,1,0,0,0,1.77,4
1025,18,1,0,1,7.4,15,0,2,0,0,0,0,1.51,4
1026,16,1,0,3,2.7,5,0,4,0,0,1,0,2.98,2
1027,16,0,0,1,10.4,2,0,2,0,1,0,0,2.95,2
1028,16,1,0,3,2.3,8,0,3,0,0,1,0,2.15,3
1029,18,0,0,0,18.7,10,0,3,1,0,0,0,2.85,2
1030,18,0,0,2,3.7,20,0,3,1,0,0,0,1.52,4
1031,15,0,2,2,5.1,12,1,0,0,1,0,0,1.73,4
1032,15,0,0,3,8.1,17,0,4,0,0,0,1,1.85,4
1033,18,0,0,3,7.7,25,0,1,0,1,0,0,0.38,4
1034,16,0,3,3,15.9,21,0,0,1,1,0,0,0.95,4
1035,16,0,0,3,9.1,27,1,2,1,1,0,0,1.14,4
1036,15,0,3,1,3.4,23,0,1,0,0,0,0,0.26,4
